name     X-axis     Y-axis     angle     value              package                                         side
                                                                                                            
FID1     69.7995    -107.6115  0.0000    Fiducial           Fiducial_0.5mm_Dia_1mm_Outer                    top 
FID2     121.8695   -108.5005  0.0000    Fiducial           Fiducial_0.5mm_Dia_1mm_Outer                    top 
FID3     96.2155    -40.3015   0.0000    Fiducial           Fiducial_0.5mm_Dia_1mm_Outer                    top 
FID4     91.8975    -114.4695  0.0000    Fiducial           Fiducial_0.5mm_Dia_1mm_Outer                    bot 
FID5     59.0045    -48.8105   0.0000    Fiducial           Fiducial_0.5mm_Dia_1mm_Outer                    bot 
FID6     127.8385   -42.9685   0.0000    Fiducial           Fiducial_0.5mm_Dia_1mm_Outer                    bot 
                                                                                                            
                                                                                                            
C3       70.0151    -106.3463  180.0000  1nF                C_0603_HandSoldering                            bot 
C6       80.5942    -97.5814   0.0000    100nF              C_0603_HandSoldering                            bot 
C13      64.2026    -37.6657   0.0000    47µF               C_1210_HandSoldering                            bot 
C14      71.4162    -37.6149   0.0000    47µF               C_1210_HandSoldering                            bot 
C15      69.0641    -41.1404   0.0000    47µF               C_1210_HandSoldering                            bot 
C16      71.8388    -49.6498   270.0000  47pF               C_0603_HandSoldering                            bot 
C17      70.7441    -56.1116   180.0000  680pF              C_0603_HandSoldering                            bot 
C18      71.8007    -53.3201   90.0000   12pF               C_0603_HandSoldering                            bot 
C19      83.6523    -37.7876   180.0000  100nF              C_0603_HandSoldering                            bot 
C20      66.2051    -114.3473  270.0000  100nF              C_0603_HandSoldering                            bot 
C22      125.4125   -115.6843  180.0000  100nF              C_0603_HandSoldering                            bot 
C24      130.2766   -108.9152  90.0000   1nF                C_0603_HandSoldering                            bot 
C27      116.2660   -98.5139   180.0000  100nF              C_0603_HandSoldering                            bot 
C30      108.6510   -97.7646   0.0000    10nF               C_0603_HandSoldering                            bot 
C34      118.5484   -39.3108   0.0000    47µF               C_1210_HandSoldering                            bot 
C35      118.5230   -35.9326   0.0000    47µF               C_1210_HandSoldering                            bot 
C36      124.4041   -43.1150   270.0000  47µF               C_1210_HandSoldering                            bot 
C37      124.8994   -53.9649   90.0000   47pF               C_0603_HandSoldering                            bot 
C38      126.8806   -50.0177   270.0000  680pF              C_0603_HandSoldering                            bot 
C39      128.3030   -50.0583   270.0000  12pF               C_0603_HandSoldering                            bot 
C40      105.8214   -37.3507   0.0000    100nF              C_0603_HandSoldering                            bot 
C41      86.5276    -103.7844  0.0000    100nF              C_0603_HandSoldering                            bot 
C42      118.3005   -102.0978  270.0000  100nF              C_0603_HandSoldering                            bot 
D1       81.8261    -108.6993  0.0000    TS4148C            D_0603                                          bot 
D2       82.6135    -106.5276  270.0000  TS4148C            D_0603                                          bot 
D3       69.5951    -107.8703  180.0000  TS4148C            D_0603                                          bot 
D5       61.8871    -115.3633  180.0000  TS4148C            D_0603                                          bot 
D6       57.5691    -104.0603  0.0000    TS4148C            D_0603                                          bot 
D7       79.4512    -93.7714   270.0000  TS4148C            D_0603                                          bot 
D8       80.4672    -99.1054   0.0000    TS4148C            D_0603                                          bot 
D17      98.0948    -105.5213  270.0000  SMF3.3             D_SOD-123F                                      bot 
D24      117.9839   -106.4260  0.0000    TS4148C            D_0603                                          bot 
D25      116.6377   -97.0915   0.0000    TS4148C            D_0603                                          bot 
D26      116.6495   -94.0943   180.0000  TS4148C            D_0603                                          bot 
D27      108.5342   -94.7801   180.0000  TS4148C            D_0603                                          bot 
D29      86.4480    -105.3084  180.0000  TS4148C            D_0603                                          bot 
D30      86.4625    -106.7689  0.0000    TS4148C            D_0603                                          bot 
D31      120.4713   -100.1776  180.0000  TS4148C            D_0603                                          bot 
D32      120.4849   -101.6127  0.0000    TS4148C            D_0603                                          bot 
L2       64.0342    -57.4705   0.0000    5µH                L_6.3x6.3_H3                                    bot 
L4       118.4605   -55.6057   0.0000    5µH                L_6.3x6.3_H3                                    bot 
Q1       78.5589    -107.6071  180.0000  SSM3J334RLFTR-ND   SOT-23                                          bot 
Q2       102.4161   -108.8517  0.0000    AO3414             SOT-23                                          bot 
Q10      102.4128   -104.9909  0.0000    AO3414             SOT-23                                          bot 
R1       79.5655    -111.4503  270.0000  22k                R_0603_HandSoldering                            bot 
R3       70.0991    -109.3943  180.0000  100k               R_0603_HandSoldering                            bot 
R4       67.3911    -117.3953  0.0000    47R                R_0603_HandSoldering                            bot 
R6       70.0151    -103.9333  0.0000    100k               R_0603_HandSoldering                            bot 
R7       106.2990   -110.0074  0.0000    100k               R_0603_HandSoldering                            bot 
R9       61.8031    -113.7123  180.0000  100k               R_0603_HandSoldering                            bot 
R11      53.4162    -103.8303  270.0000  100k               R_0603_HandSoldering                            bot 
R12      77.8129    -97.8662   90.0000   10k                R_0603_HandSoldering                            bot 
R13      80.5942    -96.0574   180.0000  10k                R_0603_HandSoldering                            bot 
R16      114.0345   -106.4565  0.0000    0R                 R_0805_HandSoldering                            bot 
R19      87.5157    -77.8662   90.0000   10k                R_0603_HandSoldering                            bot 
R20      85.9917    -77.8789   270.0000  4k7                R_0603_HandSoldering                            bot 
R36      67.7899    -43.6296   0.0000    90k9               R_0603_HandSoldering                            bot 
R37      70.6782    -57.5721   0.0000    49k9               R_0603_HandSoldering                            bot 
R38      71.4402    -46.6882   0.0000    6k81               R_0603_HandSoldering                            bot 
R39      68.7146    -52.1189   90.0000   121k               R_0603_HandSoldering                            bot 
R40      70.2894    -52.1287   270.0000  887k               R_0603_HandSoldering                            bot 
R44      85.5267    -87.7443   0.0000    10k                R_0603_HandSoldering                            bot 
R45      80.6755    -77.1168   270.0000  4k7                R_0603_HandSoldering                            bot 
R49      125.2093   -117.1194  180.0000  47R                R_0603_HandSoldering                            bot 
R50      106.5481   -102.3493  0.0000    100R               R_0603_HandSoldering                            bot 
R51      117.6733   -108.8644  180.0000  100k               R_0603_HandSoldering                            bot 
R52      106.5784   -103.9876  0.0000    100k               R_0603_HandSoldering                            bot 
R53      128.7907   -109.0471  270.0000  10k                R_0603_HandSoldering                            bot 
R57      116.1034   -95.5802   180.0000  10k                R_0603_HandSoldering                            bot 
R58      120.1498   -97.1042   180.0000  10k                R_0603_HandSoldering                            bot 
R59      108.7804   -96.3041   180.0000  100k               R_0603_HandSoldering                            bot 
R70      102.3239   -78.1429   90.0000   10k                R_0603_HandSoldering                            bot 
R77      100.6170   -78.1429   270.0000  4k7                R_0603_HandSoldering                            bot 
R84      124.6757   -47.1983   0.0000    90k9               R_0603_HandSoldering                            bot 
R85      126.8679   -54.0104   270.0000  49k9               R_0603_HandSoldering                            bot 
R86      123.4135   -54.0944   270.0000  6k81               R_0603_HandSoldering                            bot 
R87      124.8740   -50.0636   90.0000   121k               R_0603_HandSoldering                            bot 
R88      123.3373   -50.0558   270.0000  887k               R_0603_HandSoldering                            bot 
R93      86.6697    -108.2929  0.0000    10k                R_0603_HandSoldering                            bot 
R94      84.4726    -102.2604  0.0000    10k                R_0603_HandSoldering                            bot 
R95      106.4055   -106.1847  0.0000    100R               R_0603_HandSoldering                            bot 
R96      106.3801   -107.7595  0.0000    100k               R_0603_HandSoldering                            bot 
R97      115.4479   -102.1334  180.0000  10k                R_0603_HandSoldering                            bot 
R98      120.3501   -98.6536   180.0000  10k                R_0603_HandSoldering                            bot 
U1       63.5051    -107.1083  0.0000    MC74HC4538A        SOIC-16_3.9x9.9mm_Pitch1.27mm                   bot 
U4       64.3169    -48.6521   270.0000  LTC3113            HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad  bot 
U6       123.7107   -109.6137  0.0000    MC74HC4538A        SOIC-16_3.9x9.9mm_Pitch1.27mm                   bot 
U9       118.6048   -46.6649   270.0000  LTC3113            HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad  bot 
C1       70.9991    -111.9343  180.0000  10µF               C_1210_HandSoldering                            top 
C2       61.1124    -108.2355  90.0000   1µF                C_1210_HandSoldering                            top 
C4       65.1957    -115.8113  0.0000    10µF               C_1210_HandSoldering                            top 
C5       57.6224    -109.7534  180.0000  100nF              C_0603_HandSoldering                            top 
C7       65.5828    -100.5078  180.0000  10pF               C_0603_HandSoldering                            top 
C8       65.7098    -93.1418   180.0000  10pF               C_0603_HandSoldering                            top 
C9       68.5038    -90.6018   180.0000  10nF               C_0603_HandSoldering                            top 
C10      69.2658    -94.2848   270.0000  100nF              C_0603_HandSoldering                            top 
C11      89.1159    -102.9081  90.0000   100nF              C_0603_HandSoldering                            top 
C12      90.2462    -93.6371   180.0000  100nF              C_0603_HandSoldering                            top 
C21      129.4638   -107.5624  90.0000   10µF               C_1210_HandSoldering                            top 
C23      125.7427   -110.6363  270.0000  1µF                C_1210_HandSoldering                            top 
C25      124.7902   -117.1448  0.0000    10µF               C_1210_HandSoldering                            top 
C26      119.5426   -115.5700  180.0000  100nF              C_0603_HandSoldering                            top 
C28      103.5045   -101.5865  270.0000  10pF               C_0603_HandSoldering                            top 
C29      99.7145    -92.8165   180.0000  10pF               C_0603_HandSoldering                            top 
C31      124.5108   -102.0064  180.0000  100nF              C_0603_HandSoldering                            top 
C32      103.9495   -94.2111   270.0000  100nF              C_0603_HandSoldering                            top 
C33      124.5235   -92.4052   180.0000  100nF              C_0603_HandSoldering                            top 
D4       54.9783    -99.1743   0.0000    TS4148C            D_0603                                          top 
D9       69.7738    -87.5538   270.0000  TS4148C            D_0603                                          top 
D10      57.0230    -106.6927  0.0000    DZ2J036M0LCT-ND    D_SOD-323F                                      top 
D11      61.3126    -73.6219   0.0000    SMF3.3             D_SOD-123F                                      top 
D12      61.3126    -71.0819   0.0000    SMF3.3             D_SOD-123F                                      top 
D13      61.3126    -68.7959   0.0000    SMF3.3             D_SOD-123F                                      top 
D14      123.2946   -71.8439   180.0000  SMF3.3             D_SOD-123F                                      top 
D15      123.2886   -74.3839   180.0000  SMF3.3             D_SOD-123F                                      top 
D16      123.2886   -76.9239   180.0000  SMF3.3             D_SOD-123F                                      top 
D18      123.2886   -69.3039   180.0000  SMF3.3             D_SOD-123F                                      top 
D19      133.1976   -103.3272  0.0000    TS4148C            D_0603                                          top 
D20      113.8165   -108.8390  180.0000  TS4148C            D_0603                                          top 
D21      133.6548   -108.1650  270.0000  TS4148C            D_0603                                          top 
D22      119.3156   -114.1222  180.0000  TS4148C            D_0603                                          top 
D23      119.9515   -117.2845  0.0000    TS4148C            D_0603                                          top 
D28      114.9985   -115.5446  180.0000  DZ2J036M0LCT-ND    D_SOD-323F                                      top 
D33      98.4250    -105.4354  270.0000  SMF3.3             D_SOD-123F                                      top 
L1       92.7989    -95.2119   0.0000    10nH               L_0603_HandSoldering                            top 
L3       124.6554   -90.8558   0.0000    10nH               L_0603_HandSoldering                            top 
Q3       86.7613    -69.3986   270.0000  MMBT5551-TP        SOT-23                                          top 
Q4       88.7476    -45.3517   90.0000   MMBT5551-TP        SOT-23                                          top 
Q5       80.3046    -45.8767   90.0000   MMBT5551-TP        SOT-23                                          top 
Q6       82.7024    -77.6529   90.0000   MMBT5551-TP        SOT-23                                          top 
Q7       79.0346    -68.6402   270.0000  MMBT5551-TP        SOT-23                                          top 
Q8       65.9529    -56.3144   0.0000    MMBT5551-TP        SOT-23                                          top 
Q9       129.5367   -102.3645  0.0000    SSM3J334RLFTR-ND   SOT-23                                          top 
Q11      114.8868   -69.1040   90.0000   MMBT5551-TP        SOT-23                                          top 
Q12      109.0371   -46.8165   90.0000   MMBT5551-TP        SOT-23                                          top 
Q13      101.4298   -46.8572   90.0000   MMBT5551-TP        SOT-23                                          top 
Q14      99.7204    -69.0194   90.0000   MMBT5551-TP        SOT-23                                          top 
Q15      107.3810   -69.0517   90.0000   MMBT5551-TP        SOT-23                                          top 
Q16      117.5817   -53.9496   270.0000  MMBT5551-TP        SOT-23                                          top 
Q17      102.3841   -108.8415  0.0000    AO3414             SOT-23                                          top 
Q18      102.3714   -105.0138  0.0000    AO3414             SOT-23                                          top 
R2       58.5392    -104.0003  0.0000    100k               R_0603_HandSoldering                            top 
R5       96.5200    -109.4994  180.0000  100R               R_0603_HandSoldering                            top 
R8       63.4492    -107.6579  270.0000  10k                R_0603_HandSoldering                            top 
R10      53.5637    -108.7501  0.0000    15k                R_0603_HandSoldering                            top 
R14      71.2978    -87.3428   270.0000  100k               R_0603_HandSoldering                            top 
R15      58.8545    -102.3065  180.0000  0R                 R_0805_HandSoldering                            top 
R18      91.4654    -101.1125  270.0000  100R               R_0603_HandSoldering                            top 
R21      81.6151    -80.2183   0.0000    10k                R_0603_HandSoldering                            top 
R22      80.0813    -66.1289   180.0000  10k                R_0603_HandSoldering                            top 
R23      84.6406    -66.1416   0.0000    10k                R_0603_HandSoldering                            top 
R24      87.6886    -47.8917   0.0000    10k                R_0603_HandSoldering                            top 
R25      82.9462    -46.6547   90.0000   10k                R_0603_HandSoldering                            top 
R26      80.1243    -77.4370   90.0000   4k7                R_0603_HandSoldering                            top 
R27      81.5848    -68.8799   270.0000  4k7                R_0603_HandSoldering                            top 
R28      89.6366    -69.4639   270.0000  4k7                R_0603_HandSoldering                            top 
R29      86.1949    -45.0977   90.0000   4k7                R_0603_HandSoldering                            top 
R30      77.7519    -45.6338   90.0000   4k7                R_0603_HandSoldering                            top 
R31      85.2932    -77.9069   90.0000   10k                R_0603_HandSoldering                            top 
R32      76.4794    -68.4227   270.0000  10k                R_0603_HandSoldering                            top 
R33      84.1959    -69.1462   270.0000  10k                R_0603_HandSoldering                            top 
R34      88.9811    -42.8625   180.0000  10k                R_0603_HandSoldering                            top 
R35      80.5508    -43.3654   180.0000  10k                R_0603_HandSoldering                            top 
R41      62.1540    -55.2628   180.0000  10k                R_0603_HandSoldering                            top 
R42      62.1638    -57.2567   0.0000    10k                R_0603_HandSoldering                            top 
R43      73.5330    -75.7350   270.0000  0R                 R_0603_HandSoldering                            top 
R46      133.4262   -101.6762  0.0000    22k                R_0603_HandSoldering                            top 
R47      113.1697   -111.6789  270.0000  100k               R_0603_HandSoldering                            top 
R48      131.8895   -108.2343  270.0000  100k               R_0603_HandSoldering                            top 
R54      123.6345   -114.7826  180.0000  100k               R_0603_HandSoldering                            top 
R55      117.9371   -109.0041  0.0000    15k                R_0603_HandSoldering                            top 
R56      114.8334   -111.6662  90.0000   100k               R_0603_HandSoldering                            top 
R63      124.6124   -94.7928   0.0000    100R               R_0603_HandSoldering                            top 
R64      102.3874   -68.7703   270.0000  10k                R_0603_HandSoldering                            top 
R65      110.0734   -68.8059   270.0000  10k                R_0603_HandSoldering                            top 
R66      117.6909   -68.8848   270.0000  10k                R_0603_HandSoldering                            top 
R67      111.8311   -46.5961   270.0000  10k                R_0603_HandSoldering                            top 
R68      104.1730   -46.5987   270.0000  10k                R_0603_HandSoldering                            top 
R69      107.6400   -76.9019   180.0000  10k                R_0603_HandSoldering                            top 
R71      96.9137    -68.7351   90.0000   4k7                R_0603_HandSoldering                            top 
R72      104.5235   -68.8088   90.0000   4k7                R_0603_HandSoldering                            top 
R73      112.0445   -68.8545   90.0000   4k7                R_0603_HandSoldering                            top 
R74      106.2685   -46.5482   90.0000   4k7                R_0603_HandSoldering                            top 
R75      98.5850    -46.5762   90.0000   4k7                R_0603_HandSoldering                            top 
R76      107.6781   -78.5148   0.0000    4k7                R_0603_HandSoldering                            top 
R78      99.6520    -66.5302   0.0000    10k                R_0603_HandSoldering                            top 
R79      107.2921   -66.5150   180.0000  10k                R_0603_HandSoldering                            top 
R80      114.8307   -66.5861   180.0000  10k                R_0603_HandSoldering                            top 
R81      109.0576   -44.2671   180.0000  10k                R_0603_HandSoldering                            top 
R82      101.3487   -44.3205   180.0000  10k                R_0603_HandSoldering                            top 
R83      115.1763   -75.7252   270.0000  0R                 R_0603_HandSoldering                            top 
R89      120.2233   -53.4416   270.0000  10k                R_0603_HandSoldering                            top 
R90      118.6817   -56.5023   180.0000  10k                R_0603_HandSoldering                            top 
R91      98.4250    -111.4933  180.0000  100R               R_0603_HandSoldering                            top 
R92      102.6541   -111.5568  0.0000    100k               R_0603_HandSoldering                            top 
U3       79.2988    -98.2218   270.0000  ATMEGA128-16AU     TQFP-64_14x14mm_Pitch0.8mm                      top 
U2       53.6702    -104.2289  180.0000  MAX892             µMAX-8                                          top 
U7       119.3673   -111.6111  90.0000   MAX892             µMAX-8                                          top 
U8       113.6396   -98.3996   270.0000  ATMEGA128-16AU     TQFP-64_14x14mm_Pitch0.8mm                      top 
Y1       63.5545    -96.8765   0.0000    407F39D007M3728    Crystal_SMD_7050-4pin_7.0x5.0mm                 top 
Y2       99.5045    -97.9265   90.0000   407F39D007M3728    Crystal_SMD_7050-4pin_7.0x5.0mm                 top 
