"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"VIA-0.6";194;"VIA-0.6";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
3;"R44,R8,R12,R13,R19,R21,R22,R23,R24,R25,R31,R32,R33,R34,R35,R41,R42,R53,R57,R58,R64,R65,R66,R67,R68,R69,R70,R78,R79,R80,R81,R82,R89,R90,R93,R94,R97,R98";"R_0603_HandSoldering";38;"10k";;;
4;"C1,C4,C21,C25";"C_1210_HandSoldering";4;"10µF";;;
5;"C2,C23";"C_1210_HandSoldering";2;"1µF";;;
6;"C3,C24";"C_0603_HandSoldering";2;"1nF";;;
7;"C5,C6,C10,C11,C12,C19,C20,C22,C26,C27,C31,C32,C33,C40,C41,C42";"C_0603_HandSoldering";16;"100nF";;;
8;"C7,C8,C28,C29";"C_0603_HandSoldering";4;"10pF";;;
9;"C9,C30";"C_0603_HandSoldering";2;"10nF";;;
10;"D10,D28";"D_SOD-323F";2;"DZ2J036M0LCT-ND";;;
11;"D11,D12,D13,D14,D15,D16,D17,D18,D33";"D_SOD-123F";9;"SMF3.3";;;
12;"L1,L3";"L_0603_HandSoldering";2;"10nH";;;
13;"Q1,Q9";"SOT-23";2;"SSM3J334RLFTR-ND";;;
14;"Q2,Q10,Q17,Q18";"SOT-23";4;"AO3414";;;
15;"Q3,Q4,Q5,Q6,Q7,Q8,Q11,Q12,Q13,Q14,Q15,Q16";"SOT-23";12;"MMBT5551-TP";;;
16;"R1,R46";"R_0603_HandSoldering";2;"22k";;;
17;"R2,R3,R6,R7,R9,R11,R14,R47,R48,R51,R52,R54,R56,R59,R92,R96";"R_0603_HandSoldering";16;"100k";;;
18;"R4,R49";"R_0603_HandSoldering";2;"47R";;;
19;"R5,R18,R50,R63,R91,R95";"R_0603_HandSoldering";6;"100R";;;
20;"R10,R55";"R_0603_HandSoldering";2;"15k";;;
21;"R20,R26,R27,R28,R29,R30,R45,R71,R72,R73,R74,R75,R76,R77";"R_0603_HandSoldering";14;"4k7";;;
22;"U1,U6";"SOIC-16_3.9x9.9mm_Pitch1.27mm";2;"MC74HC4538A";;;
23;"U3,U8";"TQFP-64_14x14mm_Pitch0.8mm";2;"ATMEGA128-16AU";;;
24;"U5,U10";"RFM23BP";2;"RFM23BP";;;
25;"R43,R83";"R_0603_HandSoldering";2;"0R";;;
26;"U2,U7";"µMAX-8";2;"MAX892";;;
27;"D1,D2,D3,D4,D5,D6,D7,D8,D9,D19,D20,D21,D22,D23,D24,D25,D26,D27,D29,D30,D31,D32";"D_0603";22;"TS4148C";;;
28;"CON21";"Cubesatconnector";1;"DISCO-CON2";;;
29;"CON11";"Cubesatconnector";1;"DISCO-CON1";;;
30;"C13,C14,C15,C34,C35,C36";"C_1210_HandSoldering";6;"47µF";;;
31;"C16,C37";"C_0603_HandSoldering";2;"47pF";;;
32;"C17,C38";"C_0603_HandSoldering";2;"680pF";;;
33;"C18,C39";"C_0603_HandSoldering";2;"12pF";;;
34;"L2,L4";"L_6.3x6.3_H3";2;"5µH";;;
35;"R36,R84";"R_0603_HandSoldering";2;"90k9";;;
36;"R37,R85";"R_0603_HandSoldering";2;"49k9";;;
37;"R38,R86";"R_0603_HandSoldering";2;"6k81";;;
38;"R39,R87";"R_0603_HandSoldering";2;"121k";;;
39;"R40,R88";"R_0603_HandSoldering";2;"887k";;;
40;"U4,U9";"HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad";2;"LTC3113";;;
41;"AE1,AE2";"SMA_THT_Jack_Straight";2;"Antenna";;;
42;"J1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Conn_01x03";;;
43;"Y1,Y2";"Crystal_SMD_7050-4pin_7.0x5.0mm";2;"407F39D007M3728";;;
